Example_Number,Gatschet&Swanton,Modern_Ortho,Gloss.1,Gloss.2,Gloss.3,Gloss.4,Gloss.5,Gloss.6,Translation,Raw_Block,Gloss.5_Fixed
21,"[cokcukyiˊkc yaˊ cukwaˊk ‘n āˊl pai-oˊk yaˊ]
/šokšəkyíkšya šʌkwákn a·l payókya …/",šokšakyíkšya šokwákn a·l payókya …,šokšakyikš=ya  šokwak=n  a·l  payok=ya,sell=and       bread=and meat bring.back=and,,,šokšakyikš=ya  šokwak=n  a·l  payok=ya    ,sell=and       bread=and meat bring.back=and    ,"‘She sells, and brings back bread and meat, and…’ (1932:15:75-76)","[cokcukyiˊkc yaˊ cukwaˊk ‘n āˊl pai-oˊk yaˊ]                         
                                                                                    
               /šokšəkyíkšya šʌkwákn a·l payókya …/                                 
                                                                                    
          21)  šokšakyíkšya šokwákn a·l payókya …                                   
                                                                                    
                                                                                    
               šokšakyikš=ya  šokwak=n  a·l  payok=ya                               
                                                                                    
               sell=and       bread=and meat bring.back=and                         
                                                                                    
               ‘She sells, and brings back bread and meat, and…’ (1932:15:75-76)",šokšakyikš=ya  šokwak=n  a·l  payok=ya    
24,[ta-ucok’koˊ-ikit],tawšokkóykit,taw-šok-ø-koy-kit,STAND-STH-3STATS-say-PROG,,,taw-šok-ø-koy-kit    ,STAND-STH-3STATS-say-PROG    ,"‘He is standing and saying things, i.e. he is preaching.’ (1932:69:1)","[ta-ucok’koˊ-ikit]                                                   
                                                                                    
          24)  tawšokkóykit                                                         
                                                                                    
               taw-šok-ø-koy-kit                                                    
                                                                                    
               STAND-STH-3STATS-say-PROG                                            
                                                                                    
               ‘He is standing and saying things, i.e. he is preaching.’ (1932:69:1)",taw-šok-ø-kóy-kit    
25,[aˊñ-idsōˊn otōˊlco ‘nkēˊtne yukiˊt aˊnkin],aŋicón itólšo n̥ké·tne yukít áŋkin,aŋicon    itolš-o   n̥-ke·t-ne          yukit aŋ-kin,room      prepare-1SS 2SSTATS-stay-GER  our  house-LOC,,,aŋicon    itolš-o   n̥-ke·t-ne          yukit aŋ-kin    ,room      prepare-1SS 2SSTATS-stay-GER  our  house-LOC    ,‘I have prepared a room for you to stay in at our house.’ (1932:12:42-43),"[aˊñ-idsōˊn otōˊlco ‘nkēˊtne yukiˊt aˊnkin]                          
                                                                                    
          25)  aŋicón itólšo n̥ké·tne yukít áŋkin                                   
                                                                                    
               aŋicon    itolš-o   n̥-ke·t-ne          yukit aŋ-kin                 
                                                                                    
               room      prepare-1SS 2SSTATS-stay-GER  our  house-LOC               
                                                                                    
               ‘I have prepared a room for you to stay in at our house.’ (1932:12:42-43)",aŋicón    itólš-o   n̥-ké·t-ne          yukít áŋ-kin    
26,[naˊ teˊm ǎˊm],ná tém ám,na        tem       am-ø,you(sg)   yesterday drink-2/3SS,,,na        tem       am-ø    ,you(sg)   yesterday drink-2/3SS    ,‘You drank yesterday.’ (1932:83:1),"[naˊ teˊm ǎˊm]                                                       
                                                                                    
          26)  ná tém ám                                                            
                                                                                    
               na        tem       am-ø                                             
                                                                                    
               you(sg)   yesterday drink-2/3SS                                      
                                                                                    
               ‘You drank yesterday.’ (1932:83:1)",ná        tém       ám-ø    
27,[haˊ yaˊx],há yáh,ha   yáh-ø,s/he eat-2/3SS,,,ha   yáh-ø    ,s/he eat-2/3SS    ,‘He eats it.’ (1932:32:2),"[haˊ yaˊx]                                                           
                                                                                    
          27)  há yáh                                                               
                                                                                    
               ha   yáh-ø                                                           
                                                                                    
                                                                                    
               s/he eat-2/3SS                                                       
                                                                                    
               ‘He eats it.’ (1932:32:2)",há   yáh-ø    
29,[naˊkīt oˊktěm makeˊne],nakìt óktem makene,nakit     ok-tem    make-ne,you(pl)   come-2PLS trade-GER,,,nakit     ok-tem    make-ne    ,you(pl)   come-2PLS trade-GER    ,‘You all come in order to trade.’ (1932:79:1),"[naˊkīt oˊktěm makeˊne]                                              
                                                                                    
          29)  nakìt óktem makene                                                   
                                                                                    
               nakit     ok-tem    make-ne                                          
                                                                                    
               you(pl)   come-2PLS trade-GER                                        
                                                                                    
               ‘You all come in order to trade.’ (1932:79:1)",nakìt     ók-tem    make-ne    
30,[icāk heˊ-u kiˊwilc ipcoˊx̥ kuˊl],iša·khéw kíwilš ipšókul,iša·k-hew kiwilš    ipšok-ul,person-PL white.person be.doctor-3PLS,,,iša·k-hew kiwilš    ipšok-ul    ,person-PL white.person be.doctor-3PLS    ,‘The men are European doctors.’ (1932:67:2),"[icāk heˊ-u kiˊwilc ipcoˊx̥ kuˊl]                                    
                                                                                    
          30)  iša·khéw kíwilš ipšókul                                              
                                                                                    
               iša·k-hew kiwilš    ipšok-ul                                         
                                                                                    
               person-PL white.person be.doctor-3PLS                                
                                                                                    
               ‘The men are European doctors.’ (1932:67:2)",iša·k-héw kíwilš    ipšók-ul    
32,[cakwaˊntsěn],šakwáncn̥,šak-wanc-n̥,3PLO-say-2SIMP,,,šak-wanc-n̥    ,3PLO-say-2SIMP    ,‘Tell it to them!’ (1932:143:1),"[cakwaˊntsěn]                                                        
                                                                                    
          32)  šakwáncn̥                                                            
                                                                                    
               šak-wanc-n̥                                                          
                                                                                    
               3PLO-say-2SIMP                                                       
                                                                                    
               ‘Tell it to them!’ (1932:143:1)",šak-wánc-n̥    
33,[mon hoˊktiˊwe puˊmlo],mo·n hoktiwé·púmlo,mo·n hok-tiwe·-pum-lo,all  RECIP-be.together-dance-1PLIMP,,,mo·n hok-tiwe·-pum-lo    ,all  RECIP-be.together-dance-1PLIMP    ,‘Let us all dance together!” (1932:107:1),"[mon hoˊktiˊwe puˊmlo]                                               
                                                                                    
                                                                                    
          33)  mo·n hoktiwé·púmlo                                                   
                                                                                    
               mo·n hok-tiwe·-pum-lo                                                
                                                                                    
               all  RECIP-be.together-dance-1PLIMP                                  
                                                                                    
               ‘Let us all dance together!” (1932:107:1)",mo·n hok-tiwé·-púm-lo    
34,[yukiˊt tiuoˊ-ilo],yukít tiwóylo,yukit tiw-oy-lo,we   GO(PL)-sleep-1PLIMP,,,yukit tiw-oy-lo    ,we   GO(PL)-sleep-1PLIMP    ,‘Let us go and sleep!’ (1932:96:1),"[yukiˊt tiuoˊ-ilo]                                                   
                                                                                    
          34)  yukít tiwóylo                                                        
                                                                                    
               yukit tiw-oy-lo                                                      
                                                                                    
               we   GO(PL)-sleep-1PLIMP                                             
                                                                                    
               ‘Let us go and sleep!’ (1932:96:1)",yukít tiw-óy-lo    
35,[yukiˊt aˊñ ot tūˊkto],yukít áŋot túkto,yukit aŋ-ot    tuk-to,our  house-DIR bring-2PLIMP,,,yukit aŋ-ot    tuk-to    ,our  house-DIR bring-2PLIMP    ,"‘Bring it to our house, you all!’ (1932:136:2)","[yukiˊt aˊñ ot tūˊkto]                                               
                                                                                    
          35)  yukít áŋot túkto                                                     
                                                                                    
               yukit aŋ-ot    tuk-to                                                
                                                                                    
               our  house-DIR bring-2PLIMP                                          
                                                                                    
               ‘Bring it to our house, you all!’ (1932:136:2)",yukít áŋ-ot    túk-to    
37,,himìš kawkàw,hi-miš-ø            kawkaw,1SOBJ-give-2SIMP    water,,,hi-miš-ø            kawkaw    ,1SOBJ-give-2SIMP    water    ,‘Give me water!” (1932:80:2),"37)  himìš kawkàw                                                         
                                                                                    
               hi-miš-ø            kawkaw                                           
                                                                                    
               1SOBJ-give-2SIMP    water                                            
                                                                                    
               ‘Give me water!” (1932:80:2)",hi-mìš-ø            kawkàw    
38,[‘n huˊ-u ha],n̥húoháh,n̥-hu-o-hah,2SOBJ-see-1SS-NEG,,,n̥-hu-o-hah    ,2SOBJ-see-1SS-NEG    ,‘I do not see you.’ (1932:34:1),"[‘n huˊ-u ha]                                                        
                                                                                    
          38)  n̥húoháh                                                             
                                                                                    
               n̥-hu-o-hah                                                          
                                                                                    
                                                                                    
               2SOBJ-see-1SS-NEG                                                    
                                                                                    
               ‘I do not see you.’ (1932:34:1)",n̥-hú-o-háh    
39,[icpaˊts haˊhat],išpácháhat,iš-ø-pac-hah-at,1PLOBJ-3STATS-beat-NEG-PRET,,,iš-ø-pac-hah-at    ,1PLOBJ-3STATS-beat-NEG-PRET    ,‘He did not beat us.’ (1932:16:103),"[icpaˊts haˊhat]                                                     
                                                                                    
          39)  išpácháhat                                                           
                                                                                    
               iš-ø-pac-hah-at                                                      
                                                                                    
               1PLOBJ-3STATS-beat-NEG-PRET                                          
                                                                                    
               ‘He did not beat us.’ (1932:16:103)",iš-ø-pác-háh-at    
40,[haˊ naˊk tsuˊmĕt],há nakcúmat,ha   nak-ø-cum-at,he   2PLOBJ-3STATS-pinch-PRET,,,ha   nak-ø-cum-at    ,he   2PLOBJ-3STATS-pinch-PRET    ,‘He pinched you all.’ (1932:123:1),"[haˊ naˊk tsuˊmĕt]                                                   
                                                                                    
          40)  há nakcúmat                                                          
                                                                                    
                                                                                    
               ha   nak-ø-cum-at                                                    
                                                                                    
               he   2PLOBJ-3STATS-pinch-PRET                                        
                                                                                    
               ‘He pinched you all.’ (1932:123:1)",há   nak-ø-cúm-at    
41,[wi hikaˊwĕt],wí hikáwat,wi   hi-kaw-at,I    1SSTATS-be.dead/drunk-PRET,,,wi   hi-kaw-at    ,I    1SSTATS-be.dead/drunk-PRET    ,"‘I was drunk.’ Or, with resultative meaning, ‘I am drunk.’ (1932:60:2)","[wi hikaˊwĕt]                                                        
                                                                                    
          41)  wí hikáwat                                                           
                                                                                    
               wi   hi-kaw-at                                                       
                                                                                    
               I    1SSTATS-be.dead/drunk-PRET                                      
                                                                                    
                                                                                    
               ‘I was drunk.’ Or, with resultative meaning, ‘I am drunk.’ (1932:60:2)",wí   hi-káw-at    
42,[hilaˊwet],hiláwat,hi-law-at,1SSTATS-be.burned- PRET,,,hi-law-at    ,1SSTATS-be.burned- PRET    ,‘I got burned.’ (1932:40:1),"[hilaˊwet]                                                           
                                                                                    
          42)  hiláwat                                                              
                                                                                    
               hi-law-at                                                            
                                                                                    
               1SSTATS-be.burned- PRET                                              
                                                                                    
               ‘I got burned.’ (1932:40:1)",hi-láw-at    
43,[wi ikāt ‘npaˊkat],wi iká·t n̥pákat,wi   ika·t n̥-pak-at,my   foot 2SSTATS-step.on- PRET,,,wi   ika·t n̥-pak-at    ,my   foot 2SSTATS-step.on- PRET    ,‘You stepped on my foot.’ (1932:20:143),"[wi ikāt ‘npaˊkat]                                                   
                                                                                    
          43)  wi iká·t n̥pákat                                                     
                                                                                    
               wi   ika·t n̥-pak-at                                                 
                                                                                    
               my   foot 2SSTATS-step.on- PRET                                      
                                                                                    
               ‘You stepped on my foot.’ (1932:20:143)",wi   iká·t n̥-pák-at    
44,[Haˊlkin tsīˊpcat Yuk’hiˊti Tuˊl oˊt],hálkin cípšat yukhíti túlot,halkin    cipš-ø-at      yukhiti   tul-ot,afterwards move-3SS-PRET Indian    lake-DIR,,,halkin    cipš-ø-at      yukhiti   tul-ot    ,afterwards move-3SS-PRET Indian    lake-DIR    ,‘Afterwards he moved to Lake Prien (Indian Lake).’ (1932:16:95),"[Haˊlkin tsīˊpcat Yuk’hiˊti Tuˊl oˊt]                                
                                                                                    
                                                                                    
          44)  hálkin cípšat yukhíti túlot                                          
                                                                                    
               halkin    cipš-ø-at      yukhiti   tul-ot                            
                                                                                    
               afterwards move-3SS-PRET Indian    lake-DIR                          
                                                                                    
               ‘Afterwards he moved to Lake Prien (Indian Lake).’ (1932:16:95)",hálkin    cípš-ø-at      yukhíti   túl-ot    
45,[Yukiˊts icatsiˊckicat yukiˊt okēt huˊne],yukíts iššaccíškišat yukít oké·t húne.,yukit-š   iš-hat-ciškiš-at         yukit oke·t    hu-ne.,we-FOC    1PLSTATS-REFLEX-be:glad-PRET our mother see-GER,,,yukit-š   iš-hat-ciškiš-at         yukit oke·t    hu-ne.    ,we-FOC    1PLSTATS-REFLEX-be:glad-PRET our mother see-GER    ,‘We were glad to see our mother.’ (1932:17:109),"[Yukiˊts icatsiˊckicat yukiˊt okēt huˊne]                            
                                                                                    
          45)  yukíts iššaccíškišat yukít oké·t húne.                               
                                                                                    
               yukit-š   iš-hat-ciškiš-at         yukit oke·t    hu-ne.             
                                                                                    
               we-FOC    1PLSTATS-REFLEX-be:glad-PRET our mother see-GER            
                                                                                    
                                                                                    
               ‘We were glad to see our mother.’ (1932:17:109)",yukít-s   iš-šac-cíškiš-at         yukít oké·t    hú-ne.    
46,[Yukīˊts tiˊcne icōˊñcat],yukíts tíšne išóŋšat,yukit-š   tiš-ne    iš-oŋš-at,we-FOC    go(sg)-GER 1PLSTATS-not.want-PRET,,,yukit-š   tiš-ne    iš-oŋš-at    ,we-FOC    go(sg)-GER 1PLSTATS-not.want-PRET    ,‘We did not want her to go.’ (1932:17:110),"[Yukīˊts tiˊcne icōˊñcat]                                            
                                                                                    
          46)  yukíts tíšne išóŋšat                                                 
                                                                                    
               yukit-š   tiš-ne    iš-oŋš-at                                        
                                                                                    
               we-FOC    go(sg)-GER 1PLSTATS-not.want-PRET                          
                                                                                    
               ‘We did not want her to go.’ (1932:17:110)",yukít-s   tíš-ne    iš-óŋš-at    
47,[nak cakaˊxlecat],nakšakáɬišat,nak-šak-aƛiš-at,2PLSTATS-3PLOBJ-lose-PRET,,,nak-šak-aƛiš-at    ,2PLSTATS-3PLOBJ-lose-PRET    ,‘You all lost them’ (1932:13:58),"[nak cakaˊxlecat]                                                    
                                                                                    
          47)  nakšakáɬišat                                                         
                                                                                    
               nak-šak-aƛiš-at                                                      
                                                                                    
               2PLSTATS-3PLOBJ-lose-PRET                                            
                                                                                    
               ‘You all lost them’ (1932:13:58)",nak-šak-áɬiš-at    
48,[hakiˊt teˊm ăˊmulĕt],hakít tém ámulat,hakit tem      am-ul-at,they yesterday drink-3PLS-PRET,,,hakit tem      am-ul-at    ,they yesterday drink-3PLS-PRET    ,‘They drank yesterday.’ (1932:129:1),"[hakiˊt teˊm ăˊmulĕt]                                                
                                                                                    
                                                                                    
          48)  hakít tém ámulat                                                     
                                                                                    
               hakit tem      am-ul-at                                              
                                                                                    
               they yesterday drink-3PLS-PRET                                       
                                                                                    
               ‘They drank yesterday.’ (1932:129:1)",hakít tém      ám-ul-at    
49,[yaˊ ka-ucnăˊ paˊl’at],yá káwšne páłat,ya   kawšne    ø-paƛ-at,that comb      3STATS-be.broken-PRET,,,ya   kawšne    ø-paƛ-at    ,that comb      3STATS-be.broken-PRET    ,‘That comb is broken.’ (1932:102:2),"[yaˊ ka-ucnăˊ paˊl’at]                                               
                                                                                    
          49)  yá káwšne páłat                                                      
                                                                                    
               ya   kawšne    ø-paƛ-at                                              
                                                                                    
               that comb      3STATS-be.broken-PRET                                 
                                                                                    
                                                                                    
               ‘That comb is broken.’ (1932:102:2)",yá   káwšne    ø-páł-at    
50,[Yíl mōn taˊ-i ō hoˊktiwē icwāˊñĕhĕ],yíl mo·n táy o hoktiwé·išwáŋehe,yil  mo·n tay  o         hok-tiwe·-iš-waŋ-ehe,day  every river along   RECIP-be.together-1PLSTATS-walk-DUB 3,,,yil  mo·n tay  o         hok-tiwe·-iš-waŋ-ehe    ,day  every river along   RECIP-be.together-1PLSTATS-walk-DUB 3    ,‘We might walk along the river together every day.’ (1932:13:45),"[Yíl mōn taˊ-i ō hoˊktiwē icwāˊñĕhĕ]                                 
                                                                                    
          50)  yíl mo·n táy o hoktiwé·išwáŋehe                                      
                                                                                    
               yil  mo·n tay  o         hok-tiwe·-iš-waŋ-ehe                        
                                                                                    
               day  every river along   RECIP-be.together-1PLSTATS-walk-DUB 3       
                                                                                    
               ‘We might walk along the river together every day.’ (1932:13:45)",yíl  mo·n táy  o         hok-tiwé·-iš-wáŋ-ehe    
51,[ha hilaˊ-i aˊv oˊt’ĕhĕ],ha hiláy áwp ókehe,ha   hilay awp ok-ø-ehe,his  wife here come-3SS-DUB,,,ha   hilay awp ok-ø-ehe    ,his  wife here come-3SS-DUB    ,‘His wife may come here.’ (1932:41:1),"[ha hilaˊ-i aˊv oˊt’ĕhĕ]                                             
                                                                                    
          51)  ha hiláy áwp ókehe                                                   
                                                                                    
                                                                                    
               ha   hilay awp ok-ø-ehe                                              
                                                                                    
               his  wife here come-3SS-DUB                                          
                                                                                    
               ‘His wife may come here.’ (1932:41:1)",ha   hiláy áwp ók-ø-ehe    
